NumDealsPurchases,NumWebVisitsMonth,TotalPurchases,Age,Recency,CustomerTenure,TotalSpend,Income,Segment
3,7,22,69,58,4983,1617,58138.0,0
2,5,4,72,38,4433,27,46344.0,1
1,4,20,61,26,4632,776,71613.0,2
2,6,6,42,26,4459,53,26646.0,1
5,5,14,45,94,4481,422,58293.0,0
2,6,20,59,16,4613,716,62513.0,2
4,6,17,55,34,4913,590,55635.0,0
2,8,8,41,32,4737,169,33454.0,1
1,9,5,52,19,4708,46,30351.0,1
1,20,1,76,68,4428,49,5648.0,1
1,7,3,43,11,4546,19,51381.5,1
1,8,5,50,59,4913,61,7500.0,1
1,2,15,67,82,4546,1102,63033.0,2
3,6,12,74,53,4546,310,59354.0,0
1,8,4,39,38,4947,46,17323.0,1
1,3,25,80,23,4902,1315,82800.0,2
3,8,6,46,51,4872,96,41850.0,1
2,7,11,80,20,4987,317,37760.0,0
2,5,24,77,91,4778,1782,76995.0,2
2,6,6,41,86,4923,133,33812.0,1
1,8,11,44,41,5010,316,37040.0,1
15,1,28,47,42,4859,1730,2447.0,0
3,8,14,77,63,4873,972,58607.0,0
3,4,17,72,0,4489,544,65324.0,2
7,8,13,75,69,4788,444,40689.0,0
2,7,6,57,89,4863,75,18589.0,1
4,7,10,50,4,4718,257,53359.0,0
0,1,27,40,19,4814,637,51381.5,2
2,3,7,37,26,4714,131,38360.0,1
1,2,25,61,96,4539,1672,84618.0,2
2,5,6,37,34,4358,30,10979.0,1
1,3,10,63,56,4734,318,38620.0,1
2,5,7,56,31,4947,120,40548.0,1
6,6,11,74,8,4928,302,46610.0,0
1,7,17,80,4,4814,1196,68657.0,2
1,7,5,75,55,4624,65,49389.0,1
5,2,23,56,37,4500,913,67353.0,2
3,7,6,50,76,4620,81,23718.0,1
2,5,5,53,99,4458,67,42429.0,1
2,6,22,83,53,4833,902,48948.0,0
2,4,19,46,3,4746,1395,80011.0,2
2,8,5,41,88,4794,53,20559.0,1
1,5,3,69,4,4872,22,21994.0,1
1,2,8,67,80,4556,186,51381.5,1
3,5,5,51,19,4590,31,7500.0,1
1,1,15,50,72,4321,984,79941.0,2
3,9,7,30,24,4917,122,7500.0,1
1,10,4,58,92,4721,55,41728.0,1
3,6,7,75,96,4499,124,51381.5,1
9,8,19,72,39,4918,1319,72550.0,0
1,2,16,69,29,4368,507,65486.0,2
1,3,28,62,2,5007,1693,79143.0,2
2,7,5,49,54,4863,72,35790.0,1
1,1,20,49,54,4342,1617,82582.0,2
7,3,16,48,57,4702,606,66373.0,0
1,1,26,71,55,4907,1957,82384.0,2
1,3,20,60,30,4773,1093,70287.0,2
1,3,5,38,31,4382,29,27938.0,1
2,6,5,44,57,4697,46,51381.5,1
3,7,16,58,63,4438,518,55954.0,0
1,1,20,44,12,4680,1438,75777.0,2
4,3,18,51,18,4980,612,66653.0,0
4,7,20,74,26,4816,884,61823.0,0
1,5,18,75,8,4703,606,67680.0,2
1,4,15,78,29,4525,1076,70666.0,2
1,7,4,55,75,4724,34,25721.0,1
1,7,3,59,0,4369,11,32474.0,1
1,5,31,47,19,4422,1274,88194.0,2
1,4,17,68,4,4595,653,69096.0,2
7,5,12,56,90,4767,1562,74854.0,0
3,3,18,72,1,4976,1253,66991.0,2
3,8,6,53,25,4973,109,51381.5,1
4,7,26,67,29,4789,863,65031.0,0
5,7,19,51,88,4770,661,60631.0,0
1,2,7,74,58,4380,65,28332.0,1
1,6,3,49,68,4877,13,40246.0,1
1,5,18,54,34,4991,1890,75251.0,2
0,4,22,50,40,4945,2209,75825.0,2
1,3,3,50,12,4618,18,26326.0,1
2,8,19,61,9,4863,692,56046.0,0
4,8,8,41,87,4989,165,29760.0,1
1,7,3,57,5,4691,16,26304.0,1
3,7,6,53,87,4681,79,23559.0,1
1,3,10,63,56,4734,318,38620.0,1
1,1,26,39,18,4444,778,81361.0,2
2,7,5,66,95,4642,56,29440.0,1
5,7,8,56,48,4668,151,36138.0,1
4,7,13,69,3,4352,372,50388.0,0
1,2,18,53,70,4368,1366,79593.0,2
1,2,9,59,79,4479,194,54178.0,1
12,9,17,69,4,4907,603,51381.5,0
1,7,3,69,45,4353,18,51381.5,1
1,1,14,53,87,4538,985,51381.5,2
1,7,4,54,69,4418,32,42394.0,1
3,5,7,56,84,4356,43,23626.0,1
1,6,5,43,30,4358,45,30096.0,1
5,6,17,66,72,4904,606,47916.0,0
2,7,5,54,37,4764,63,51813.0,1
1,2,24,75,44,4530,978,78497.0,2
2,5,14,43,32,4694,410,50150.0,1
2,8,5,66,0,4661,72,47823.0,1
2,6,5,67,43,4411,55,34554.0,1
2,5,25,47,59,4755,1169,85693.0,2
1,4,15,81,68,4728,1120,65846.0,2
1,1,19,67,35,4372,1097,87195.0,2
1,5,4,47,94,4521,29,24594.0,1
4,7,9,62,15,4598,187,49096.0,1
4,6,22,57,56,4832,910,52413.0,0
2,7,7,48,17,4877,145,38557.0,1
1,2,13,66,18,4889,850,89058.0,2
1,3,23,47,46,4559,969,77298.0,2
1,9,16,35,40,4916,1820,68126.0,2
3,6,17,63,27,4324,608,57288.0,2
1,3,24,35,95,4863,730,86037.0,2
5,7,16,46,19,4884,551,43974.0,0
2,6,6,64,27,4612,114,50785.0,1
0,1,15,56,25,4476,1724,90765.0,2
5,9,15,48,74,4815,577,36550.0,0
2,5,5,59,85,4673,81,30753.0,1
2,6,5,57,37,4547,33,21918.0,1
4,4,18,73,65,4694,660,56129.0,0
3,5,6,59,13,4445,80,32557.0,1
2,7,4,41,63,4618,30,19510.0,1
1,7,4,50,83,4753,43,30992.0,1
0,2,27,43,69,4794,1135,101970.0,2
2,1,14,61,87,4816,559,71488.0,2
1,1,15,42,37,4754,1923,79607.0,2
2,6,6,73,51,4341,90,54348.0,1
3,6,14,65,23,4673,404,51381.5,0
4,4,19,70,72,4370,661,77376.0,2
5,5,14,74,10,4592,463,62998.0,0
5,8,18,68,42,4796,632,61331.0,0
1,4,18,57,10,4459,725,73448.0,2
1,4,18,63,96,4642,725,51381.5,2
5,8,11,62,51,4639,279,41551.0,0
1,3,22,59,21,4789,1482,62981.0,2
2,8,4,50,31,5010,29,9548.0,1
3,8,6,67,61,4677,106,33762.0,1
2,5,4,53,37,4361,49,35860.0,1
2,7,5,61,74,4656,38,36921.0,1
1,2,21,34,46,4938,2077,92859.0,2
2,7,15,50,4,4547,1053,65104.0,2
1,2,22,64,73,4756,1385,86111.0,2
3,6,22,52,47,4625,871,68352.0,2
3,7,9,38,13,4787,312,41883.0,1
3,8,12,50,36,4939,877,59809.0,0
1,6,5,51,47,4929,68,23957.0,1
1,8,3,45,49,4625,22,38547.0,1
7,8,9,53,94,4996,211,35688.0,0
1,3,7,60,65,4328,127,49605.0,1
1,3,15,73,59,4386,459,59354.0,2
4,6,15,57,96,4434,460,65747.0,0
4,7,13,54,28,4882,429,46344.0,0
4,6,7,38,12,4368,89,34176.0,1
2,5,24,74,57,4948,1021,61010.0,2
1,4,20,77,10,4815,1381,69372.0,2
3,7,12,68,4,4676,306,49967.0,0
1,4,3,48,49,4610,18,60199.0,1
1,2,8,49,3,4575,162,55375.0,1
1,1,17,71,64,4633,1231,80317.0,2
1,7,3,68,0,4683,13,30523.0,1
2,6,25,81,20,4921,1706,70356.0,2
4,8,7,42,91,4495,121,23228.0,1
1,2,19,51,9,4744,1293,74165.0,2
15,0,22,53,98,4440,1608,157243.0,0
3,6,6,60,83,4548,88,43482.0,1
1,3,17,73,27,4543,421,62551.0,2
1,4,11,67,63,4625,259,52332.0,1
1,1,14,38,46,4559,1117,66951.0,2
3,5,6,69,84,4444,89,26091.0,1
2,7,4,61,58,4389,36,33456.0,1
2,8,5,44,78,4671,57,28718.0,1
1,6,7,56,4,4389,148,50447.0,1
2,5,6,67,17,4470,93,53537.0,1
1,4,6,59,77,4406,119,52074.0,1
1,5,27,51,56,4975,1835,80427.0,2
1,4,24,78,79,4880,1318,83837.0,2
2,7,5,56,90,4357,45,38853.0,1
1,2,3,67,96,4325,10,38285.0,1
1,2,24,75,44,4530,978,78497.0,2
1,5,9,50,81,4369,191,51650.0,1
3,6,6,38,77,4370,57,16248.0,1
1,2,23,80,21,4594,1033,66835.0,2
1,6,5,42,16,4478,66,30477.0,1
1,6,5,65,80,4334,43,28249.0,1
1,9,4,43,45,4891,50,25271.0,1
2,5,5,56,63,4433,39,32303.0,1
2,5,16,60,34,4651,608,61286.0,2
1,2,23,50,14,4787,1581,74068.0,2
2,7,5,62,13,4811,68,45759.0,1
1,6,4,48,52,4978,80,24882.0,1
1,3,27,37,98,4728,1282,66973.0,2
2,8,6,38,93,4715,91,38872.0,1
4,6,12,53,38,4816,315,51148.0,0
2,8,4,49,24,4502,31,31353.0,1
1,3,22,46,80,4367,834,69661.0,2
1,2,16,72,82,4603,1600,80067.0,2
1,2,16,72,20,4848,1270,86718.0,2
6,8,9,53,81,4410,263,46854.0,0
3,5,16,74,50,4320,535,69142.0,2
1,1,17,58,60,4522,1295,75922.0,2
3,6,26,48,63,4578,1150,63693.0,2
0,4,26,49,54,4924,1240,102160.0,2
2,7,4,61,72,4667,38,40637.0,1
1,6,3,42,5,4916,35,18890.0,1
1,9,4,38,88,4523,53,29604.0,1
6,6,11,63,50,4732,293,48721.0,0
1,6,5,60,99,4341,65,44794.0,1
5,8,24,72,17,4977,1804,64497.0,0
5,4,10,70,11,4775,241,46097.0,0
1,1,19,72,18,4423,1101,77972.0,2
8,8,11,58,70,4952,264,44377.0,0
10,7,16,52,21,4844,541,46014.0,0
1,1,16,41,66,4741,1198,70951.0,2
6,8,14,49,79,4409,482,41443.0,0
1,8,3,48,2,4368,17,52195.0,1
1,3,24,78,81,4546,1615,83790.0,2
2,7,10,72,24,4622,285,44551.0,1
2,6,26,46,48,4912,1135,69508.0,2
1,3,6,38,93,4399,114,45204.0,1
1,1,15,57,56,4547,1047,72460.0,2
2,3,20,56,3,4396,714,77622.0,2
4,8,9,46,44,4860,185,30732.0,1
5,6,27,64,38,4979,1245,63887.0,0
4,8,8,48,46,4780,189,42011.0,1
2,8,14,50,84,4932,576,51369.0,0
3,8,15,74,27,4887,1103,51537.0,0
1,2,16,54,72,5010,1753,79930.0,2
1,8,3,40,66,4453,17,34320.0,1
9,7,14,60,30,4786,433,37070.0,0
1,7,13,64,2,4860,1588,81975.0,2
1,8,3,55,65,4730,22,38590.0,1
1,3,4,75,37,4394,19,15033.0,1
3,5,26,61,89,4783,1117,62745.0,2
2,6,6,51,49,4522,69,22212.0,1
1,7,4,44,46,4527,23,23661.0,1
1,3,18,68,32,4588,605,79761.0,2
4,7,7,53,54,4505,57,7500.0,1
1,3,21,58,98,4564,2088,73455.0,2
2,3,14,68,97,4873,1009,64961.0,2
1,9,4,55,75,4653,26,22804.0,1
1,2,21,36,8,4533,1627,73687.0,2
7,7,24,68,37,5001,1102,61074.0,0
2,6,4,62,31,4344,17,31686.0,1
2,6,14,54,40,4725,1690,80134.0,2
2,5,19,73,74,4856,1390,75027.0,2
1,3,19,38,90,4987,2126,67546.0,2
4,6,21,57,57,4928,1531,65176.0,0
2,8,5,51,59,4606,64,31160.0,1
2,6,4,41,52,4565,26,29938.0,1
1,2,28,52,5,4770,1112,102692.0,2
2,6,9,68,92,4965,210,26490.0,1
5,8,21,59,77,4989,1148,75702.0,0
2,6,4,52,35,4944,33,30899.0,1
3,6,16,65,48,4941,1101,63342.0,0
4,3,12,62,97,4935,322,45989.0,0
4,5,6,62,95,4710,44,18701.0,1
1,8,3,69,24,4523,17,40737.0,1
2,7,4,47,60,4947,31,15287.0,1
3,5,22,58,46,4723,845,69674.0,2
4,5,11,56,85,4332,275,44159.0,1
1,9,3,48,31,4903,25,37717.0,1
6,8,11,74,9,4831,275,43776.0,0
4,7,7,60,30,4792,90,38179.0,1
1,1,18,63,47,4323,1495,80124.0,2
4,7,7,56,70,4942,184,38097.0,0
1,1,12,56,13,4695,981,72940.0,2
2,6,6,56,11,4588,67,22070.0,1
2,7,12,73,31,4965,1635,69267.0,0
3,5,7,43,15,4421,60,31788.0,1
2,5,10,51,2,4465,231,61905.0,1
4,6,6,66,55,4404,48,29315.0,1
3,7,6,63,38,4828,99,33378.0,1
2,4,21,63,86,4606,770,66313.0,2
2,5,21,70,56,4848,957,60714.0,2
1,1,11,45,29,4380,818,77882.0,2
1,1,16,40,30,4773,925,69867.0,2
1,6,21,58,64,4754,908,63841.0,2
3,7,7,45,46,4823,102,24480.0,1
2,8,14,50,84,4932,576,51369.0,0
2,7,11,80,20,4987,317,37760.0,0
1,2,14,52,74,4440,461,65640.0,2
2,5,5,51,18,4393,37,44319.0,1
1,7,6,52,75,4672,70,30631.0,1
1,3,22,74,17,4836,930,75278.0,2
13,5,20,70,88,4857,859,50898.0,0
1,3,21,60,19,4368,1478,79946.0,2
3,8,13,77,62,4701,390,35416.0,0
1,7,4,42,11,4680,52,32414.0,1
3,7,7,57,74,4504,137,38361.0,1
1,4,18,46,32,4926,1919,82497.0,2
3,9,6,55,76,4485,68,16626.0,1
1,6,3,61,6,4794,25,29672.0,1
3,8,20,74,62,4995,1374,55951.0,0
1,7,4,38,20,4799,32,35388.0,1
1,8,6,40,43,4852,100,42386.0,1
1,1,11,44,45,4853,825,68627.0,2
5,5,23,61,34,4424,916,57912.0,0
4,5,7,68,53,4394,62,35246.0,1
1,6,20,70,44,4580,728,58821.0,2
1,4,6,48,89,4440,90,46377.0,1
3,8,10,38,43,4397,273,39747.0,1
3,7,7,42,68,4504,66,23976.0,1
1,2,22,65,44,4778,1213,80950.0,2
1,9,6,60,64,4969,107,27038.0,1
1,1,17,79,85,4436,1157,77457.0,2
1,7,17,62,93,4612,546,64100.0,2
1,4,10,34,12,4748,241,42670.0,1
4,6,7,50,86,4482,53,12571.0,1
2,7,5,59,28,4564,37,22574.0,1
1,3,23,37,69,4711,1611,51381.5,2
1,3,22,50,42,4828,1508,70893.0,2
6,4,10,60,13,4514,235,54198.0,0
2,5,5,70,86,4430,32,28839.0,1
2,7,6,54,59,4655,102,40321.0,1
2,3,13,41,30,5004,401,66503.0,2
2,5,4,75,33,4668,28,30833.0,1
6,7,15,56,67,4630,1052,51381.5,0
3,2,18,55,23,4848,680,64795.0,2
1,7,3,52,81,4683,30,34421.0,1
1,7,3,61,6,4460,20,47025.0,1
5,7,18,65,41,4827,1307,64325.0,0
6,8,18,73,78,4854,630,40464.0,0
1,3,17,69,49,4679,1283,62187.0,2
3,8,6,50,39,4682,65,14849.0,1
1,7,4,42,3,4554,37,27255.0,1
1,4,4,76,37,4736,38,54432.0,1
4,8,8,40,22,4821,160,29999.0,1
1,8,3,43,79,4759,23,24072.0,1
1,4,5,37,46,4611,71,33996.0,1
2,5,17,70,82,4772,1161,66334.0,2
1,7,4,55,10,4855,59,35178.0,1
2,8,5,43,51,4684,33,22010.0,1
1,3,21,66,38,4975,946,62204.0,2
1,4,21,58,10,4890,1442,75693.0,2
1,8,4,54,14,4914,62,30675.0,1
1,3,21,61,18,4803,1674,83003.0,2
1,3,20,38,95,5008,1538,68655.0,2
1,6,7,40,11,4524,139,41411.0,1
3,8,17,57,65,4903,1182,55212.0,0
2,3,16,76,71,4701,507,59292.0,2
1,8,3,53,13,4638,18,27190.0,1
1,1,15,74,58,4551,940,82623.0,2
2,6,4,61,65,4691,42,44300.0,1
1,1,14,56,0,4333,1190,84835.0,2
3,7,5,55,33,4871,44,30372.0,1
1,6,3,50,90,4497,16,33181.0,1
4,4,22,69,95,4514,835,71113.0,2
2,4,20,40,93,4855,1443,71952.0,2
3,3,15,60,38,4564,1029,69759.0,2
1,1,17,52,18,4930,1188,72099.0,2
5,6,19,50,57,4874,1277,60000.0,0
2,7,5,48,45,4532,49,38643.0,1
1,6,6,71,61,4734,99,50737.0,1
1,1,14,57,6,4884,1670,68462.0,2
1,2,13,83,65,4633,900,65073.0,2
2,5,14,78,52,4584,425,46681.0,1
1,2,21,69,87,4959,2153,78618.0,2
3,4,18,57,38,4419,636,62187.0,2
3,4,7,48,53,4445,57,28442.0,1
1,9,3,48,31,4903,25,37717.0,1
7,7,15,59,67,4868,494,51479.0,0
2,4,17,57,65,4997,693,54803.0,0
1,2,25,66,64,4728,1348,79530.0,2
2,7,5,50,82,4790,51,31615.0,1
1,3,15,64,27,4909,1932,72025.0,2
2,8,14,51,63,4895,990,52614.0,0
1,6,4,42,66,4388,30,35684.0,1
6,8,10,51,69,4929,254,48178.0,0
1,4,4,56,52,4624,29,29548.0,1
4,8,19,60,45,4915,1371,63810.0,0
3,8,6,54,2,4692,73,38578.0,1
4,8,7,51,86,5000,120,46098.0,0
1,9,4,56,23,4788,81,22585.0,1
1,8,4,37,13,4866,37,30279.0,1
2,6,18,65,14,4590,1377,66426.0,2
1,7,4,57,92,4700,51,30822.0,1
1,8,3,57,38,4857,17,33581.0,1
1,7,3,41,74,4547,22,19986.0,1
3,7,11,72,14,4884,324,27421.0,0
7,8,9,53,94,4996,211,35688.0,0
1,3,3,45,33,4411,19,36143.0,1
3,5,5,55,32,4730,41,10245.0,1
3,7,14,58,11,4576,492,43795.0,1
4,2,22,66,78,4952,1005,63381.0,2
1,6,6,77,56,4988,114,38823.0,1
3,5,16,58,57,4737,1173,83664.0,2
0,1,19,47,7,4497,1738,90300.0,2
2,4,10,47,0,4522,222,62499.0,1
1,2,15,33,66,4376,1127,74293.0,2
1,6,9,80,86,4757,209,51012.0,1
3,3,20,58,80,4444,787,70777.0,2
1,2,23,35,56,4586,1598,68682.0,2
4,8,8,55,18,4972,186,43824.0,0
2,8,4,42,51,4987,47,15345.0,1
1,7,4,39,71,4872,27,23442.0,1
4,7,7,46,71,4917,96,14515.0,1
4,6,6,70,80,4783,64,31395.0,1
1,5,22,61,2,4960,1040,75276.0,2
5,5,8,52,83,4638,163,42373.0,1
1,7,10,66,29,4795,343,30507.0,1
9,7,15,71,11,4570,446,55521.0,0
1,6,4,61,55,4340,41,48006.0,1
3,8,6,54,19,4988,70,27213.0,1
3,6,11,55,1,4350,272,65808.0,1
1,9,5,52,19,4708,46,30351.0,1
3,7,16,63,28,4940,490,50437.0,0
2,8,6,44,76,4909,79,23616.0,1
4,4,13,50,50,4917,915,53858.0,0
3,6,32,71,1,4776,1485,66465.0,2
3,7,13,39,90,4996,369,46923.0,0
2,3,17,64,83,4842,1073,75072.0,2
1,1,18,83,73,4410,1242,75865.0,2
3,5,6,51,24,4541,78,19789.0,1
1,5,20,32,11,4455,1378,80134.0,2
1,3,25,45,33,4812,1474,91065.0,2
9,8,20,55,4,4801,751,49505.0,0
2,7,5,53,14,4374,48,37401.0,1
1,6,5,43,30,4358,45,30096.0,1
1,8,3,44,75,4344,10,18492.0,1
1,1,15,52,26,4710,1435,82584.0,2
0,2,22,85,77,4762,2119,93027.0,2
1,8,3,73,8,4527,20,48686.0,1
1,1,26,40,42,4386,1795,92910.0,2
2,6,17,37,28,4405,1188,75433.0,2
2,5,5,37,52,4376,43,10404.0,1
2,3,22,58,1,4750,1008,61314.0,2
1,4,15,65,1,4736,1688,84865.0,2
5,8,16,37,42,4928,684,42387.0,0
15,7,24,59,76,4842,1082,67309.0,0
1,4,24,62,27,4536,1068,75236.0,2
2,5,5,56,28,4467,57,30015.0,1
1,5,4,70,49,4693,46,50943.0,1
3,5,20,60,12,4510,733,67272.0,2
2,8,15,77,14,4615,467,51529.0,0
3,7,7,55,89,4631,122,32011.0,1
2,8,5,40,96,4827,36,7500.0,1
1,8,4,37,56,4680,34,28691.0,1
2,4,8,78,72,4511,156,56223.0,1
1,5,3,80,14,4647,14,18100.0,1
1,8,4,37,13,4866,37,30279.0,1
1,8,4,52,99,4424,34,20130.0,1
1,8,3,67,72,4671,20,23295.0,1
2,8,9,54,92,4583,192,42618.0,1
1,1,16,62,87,4502,1379,81246.0,2
2,8,5,50,7,4705,48,24027.0,1
2,3,14,73,91,4509,428,55707.0,2
5,3,22,71,71,4743,868,57959.0,0
3,7,24,57,24,4818,1001,56796.0,0
1,5,6,55,17,4575,59,36230.0,1
2,3,14,46,87,4530,431,70829.0,2
3,7,24,50,21,4980,971,65991.0,0
7,8,12,54,90,4998,348,38988.0,0
1,4,23,60,44,4972,2059,89572.0,2
4,6,10,42,71,4774,265,42207.0,1
2,2,11,74,52,4355,270,50300.0,1
1,3,18,44,78,4962,1289,66664.0,2
4,7,12,62,2,4499,893,60597.0,0
1,1,21,77,60,4600,926,70165.0,2
2,6,7,68,25,4472,135,50520.0,1
1,1,18,63,47,4323,1495,80124.0,2
2,7,7,51,46,4445,120,33183.0,1
1,1,19,57,83,4438,1288,66582.0,2
1,2,16,71,17,4752,1743,75261.0,2
1,8,3,56,13,4926,15,31880.0,1
3,6,17,75,86,4435,542,53790.0,0
3,7,22,55,92,5003,890,49269.0,0
4,4,29,51,47,4779,1388,61456.0,2
1,8,3,46,18,4582,17,37406.0,1
7,6,23,45,81,5014,906,56937.0,0
2,7,4,48,91,4863,44,38415.0,1
1,5,4,38,58,4362,25,20518.0,1
4,5,22,70,40,4816,973,62503.0,0
2,3,4,54,67,4371,31,41644.0,1
1,5,16,49,19,4357,518,55842.0,2
4,5,15,54,93,4934,530,62010.0,0
7,8,14,49,41,4926,506,41124.0,0
1,7,5,53,60,4501,70,38961.0,1
1,6,5,54,54,4642,54,37760.0,1
2,9,10,52,26,4999,296,32233.0,1
4,5,11,51,30,4562,266,43057.0,1
1,3,18,66,93,4947,747,83151.0,2
1,3,28,62,35,4973,895,78825.0,2
2,7,15,50,4,4547,1053,65104.0,2
2,6,19,52,92,4688,735,60093.0,2
1,7,4,57,24,4474,20,14045.0,1
1,8,9,74,96,4929,205,28457.0,1
2,6,19,68,11,4963,2092,78952.0,2
2,8,12,50,99,4893,309,46310.0,1
1,6,21,71,72,4812,1722,76005.0,2
4,8,11,62,77,4853,900,58308.0,0
1,7,19,82,85,4534,682,55614.0,2
3,5,19,64,88,4762,663,59432.0,0
1,3,5,48,22,4405,43,55563.0,1
1,6,17,55,83,4754,1816,78642.0,2
3,3,24,77,63,4358,976,67911.0,2
1,2,20,82,9,4772,746,65275.0,2
2,8,4,76,92,5012,64,27203.0,1
1,5,4,65,2,4546,32,48330.0,1
1,8,8,36,6,4867,263,24279.0,1
2,8,19,41,66,4994,1445,64355.0,0
1,5,4,70,49,4693,46,50943.0,1
2,6,26,73,29,4919,1210,53653.0,0
1,3,23,50,77,4529,945,65665.0,2
1,1,21,37,77,4665,1157,81217.0,2
1,7,7,34,71,4693,137,34935.0,1
6,5,19,67,49,4880,730,61250.0,0
3,7,9,45,97,4720,216,39665.0,1
1,3,22,47,6,4778,943,60152.0,2
3,7,13,62,93,4572,347,48920.0,1
1,1,18,67,78,4424,1924,89120.0,2
4,8,13,80,62,4734,397,44124.0,0
1,2,21,51,47,4761,2089,81169.0,2
4,8,7,65,9,4831,138,36443.0,1
1,7,4,36,77,4684,42,26095.0,1
1,2,16,67,24,4630,777,71367.0,2
1,3,19,82,19,4440,1902,80184.0,2
2,7,5,61,67,4473,52,30630.0,1
1,5,12,39,95,4440,1651,73454.0,2
1,5,12,35,48,4637,358,42691.0,1
1,6,15,73,73,4957,1727,70503.0,2
3,6,7,39,35,4979,210,25545.0,1
1,8,4,40,76,4892,42,32880.0,1
1,2,19,68,20,4534,1291,77863.0,2
1,3,14,49,72,4341,442,50353.0,2
1,8,16,62,20,5006,1895,61839.0,2
6,6,13,66,69,4558,411,49154.0,0
4,5,15,51,80,4819,521,47682.0,0
1,1,16,57,65,4604,1168,72679.0,2
7,7,16,49,52,4331,493,57954.0,0
2,4,10,64,65,4751,260,65316.0,1
2,6,5,44,57,4697,46,28567.0,1
4,7,12,75,70,4764,319,47352.0,0
1,5,6,59,0,4482,96,44931.0,1
1,4,15,59,19,4454,1062,76982.0,2
2,2,10,74,50,4645,232,57247.0,2
3,7,6,45,67,4508,76,22944.0,1
3,8,6,49,46,4554,54,25315.0,1
2,7,9,57,37,5012,201,43638.0,1
2,6,12,42,38,4898,406,42710.0,1
1,3,19,44,9,4646,1919,84169.0,2
2,3,18,50,56,4710,662,54058.0,2
2,5,6,36,98,4433,41,24683.0,1
1,1,13,62,68,4493,1600,85620.0,2
1,6,7,46,72,4528,134,47850.0,1
4,8,6,58,47,4474,69,19514.0,1
2,6,4,53,33,4412,21,27159.0,1
2,3,5,63,87,4410,54,39548.0,1
2,7,6,37,0,4402,91,21474.0,1
2,6,16,55,73,4462,526,60504.0,2
1,8,7,63,74,4757,162,22419.0,1
1,1,24,77,4,4555,1008,81698.0,2
6,8,10,74,50,4975,240,43462.0,0
2,5,19,48,57,4805,795,54880.0,2
1,2,18,44,30,4770,1772,79908.0,2
2,5,6,56,27,4650,64,15315.0,1
